Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
Sep 11 2017,1.00,1.02,0.990974,1.00,125845000,405355000,1.01
Sep 10 2017,1.00,1.02,0.996180,1.01,163773000,405082000,1.01
Sep 09 2017,1.01,1.01,0.998370,1.00,119580000,398820000,1.00
Sep 08 2017,1.00,1.05,0.997327,1.01,319590000,394388000,1.02
Sep 07 2017,1.00,1.01,0.995770,1.00,166453000,386679000,1.00
Sep 06 2017,1.01,1.05,1.00,1.01,192689000,387469000,1.02
Sep 05 2017,1.03,1.04,0.999893,1.00,271614000,379945000,1.02
Sep 04 2017,1.00,1.05,0.997741,1.03,375473000,364943000,1.02
Sep 03 2017,1.01,1.03,0.999620,1.00,188687000,348836000,1.01
Sep 02 2017,1.00,1.04,0.998739,1.02,345971000,320966000,1.02
Sep 01 2017,1.00,1.01,1.00,1.00,199664000,320792000,1.00
Aug 31 2017,1.00,1.01,0.999514,1.00,109217000,319518000,1.00
Aug 30 2017,1.00,1.01,0.996119,1.00,114992000,320041000,1.00
Aug 29 2017,1.00,1.02,0.995690,1.00,132123000,320307000,1.01
Aug 28 2017,1.00,1.01,0.995565,1.00,130785000,320279000,1.00
Aug 27 2017,1.00,1.01,0.997090,1.00,104722000,319543000,1.00
Aug 26 2017,1.00,1.01,0.995768,0.998932,98081300,320776000,1.00
Aug 25 2017,1.00,1.02,0.998112,1.00,116308000,321015000,1.01
Aug 24 2017,0.999332,1.01,0.990714,1.00,132330000,319288000,1.00
Aug 23 2017,1.00,1.01,0.991684,1.00,195159000,320872000,1.00
Aug 22 2017,1.00,1.02,0.990916,1.01,241915000,319888000,1.01
Aug 21 2017,0.999538,1.01,0.990459,0.999263,208830000,319354000,1.00
Aug 20 2017,0.997167,1.02,0.983909,0.996629,133754000,318596000,1.00
Aug 19 2017,1.01,1.04,0.980183,1.00,281633000,322030000,1.01
Aug 18 2017,1.01,1.03,0.984905,1.01,255272000,322035000,1.01
Aug 17 2017,1.00,1.01,0.989070,1.01,166152000,319712000,1.00
Aug 16 2017,0.998963,1.01,0.991915,1.00,121473000,319170000,1.00
Aug 15 2017,1.00,1.02,0.994513,1.00,213099000,319617000,1.01
Aug 14 2017,0.995682,1.01,0.990626,0.998163,125445000,318122000,1.00
Aug 13 2017,1.00,1.02,0.980414,0.998616,198569000,319661000,1.00
Aug 12 2017,1.00,1.01,0.995213,1.00,130896000,319785000,1.00
Aug 11 2017,0.996635,1.01,0.988428,1.00,111829000,318426000,1.00
Aug 10 2017,0.998799,1.01,0.988217,0.992991,91695000,319118000,1.00
Aug 09 2017,0.999236,1.01,0.993707,1.00,140569000,319257000,1.00
Aug 08 2017,0.994220,1.01,0.989566,1.00,130482000,317655000,1.00
Aug 07 2017,0.999468,1.01,0.990056,0.996254,110170000,319331000,1.00
Aug 06 2017,1.00,1.01,0.993119,1.00,103532000,320093000,1.00
Aug 05 2017,1.00,1.03,0.991505,0.998314,173138000,320940000,1.01
Aug 04 2017,0.968452,1.01,0.966326,1.00,59432500,309422000,0.99
Aug 03 2017,1.00,1.01,0.955404,0.969304,57242700,320322000,0.98
Aug 02 2017,0.996581,1.01,0.985239,1.00,84592700,318409000,1.00
Aug 01 2017,1.00,1.02,0.988123,0.996819,170045000,320388000,1.00
Jul 31 2017,1.00,1.01,0.995719,1.00,75184900,319512000,1.00
Jul 30 2017,0.996776,1.00,0.991188,0.998868,60213000,318471000,1.00
Jul 29 2017,0.999755,1.01,0.993449,0.996619,73768300,319423000,1.00
Jul 28 2017,0.996060,1.01,0.990485,1.00,116290000,318242000,1.00
Jul 27 2017,0.998839,1.01,0.991769,0.997275,79850000,319130000,1.00
Jul 26 2017,0.998645,1.01,0.989915,0.996955,111957000,319068000,1.00
Jul 25 2017,0.994284,1.02,0.984754,0.999802,220992000,317675000,1.00
Jul 24 2017,0.999919,1.00,0.988839,0.993997,75766900,319475000,0.99
Jul 23 2017,0.994773,1.01,0.990375,0.997761,114229000,317831000,1.00
Jul 22 2017,0.999612,1.00,0.986424,0.993200,131558000,319377000,0.99
Jul 21 2017,0.998636,1.02,0.984893,0.997202,168919000,319065000,1.00
Jul 20 2017,0.990980,1.02,0.976702,0.986866,278994000,306710000,1.00
Jul 19 2017,1.00,1.03,0.980136,1.00,199312000,309942000,1.01
Jul 18 2017,0.995021,1.02,0.982123,0.998216,238396000,293035000,1.00
Jul 17 2017,0.988208,1.01,0.983970,0.996888,171476000,291009000,1.00
Jul 16 2017,1.00,1.02,0.969665,0.999161,177914000,295162000,0.99
Jul 15 2017,1.00,1.02,0.988486,1.00,125229000,290061000,1.00
Jul 14 2017,1.00,1.01,0.994217,1.00,93146700,289635000,1.00
Jul 13 2017,0.999669,1.02,0.999410,1.00,104236000,268892000,1.01
Jul 12 2017,1.01,1.02,0.995490,0.997456,131420000,260929000,1.01
Jul 11 2017,1.02,1.04,0.998774,1.01,173424000,239198000,1.02
Jul 10 2017,1.01,1.02,0.991515,1.01,132682000,221114000,1.01
Jul 09 2017,0.999601,1.01,0.998527,1.01,45640800,219894000,1.00
Jul 08 2017,1.01,1.02,0.997497,0.999725,62607300,221837000,1.01
Jul 07 2017,1.00,1.02,1.00,1.01,84663200,220509000,1.01
Jul 06 2017,0.995936,1.01,0.995936,1.00,44331000,219087000,1.00
Jul 05 2017,1.00,1.02,0.994445,0.996460,66727600,220126000,1.01
Jul 04 2017,0.999601,1.01,0.987214,0.998828,87707900,219893000,1.00
Jul 03 2017,1.01,1.02,0.992834,1.00,87514200,223017000,1.01
Jul 02 2017,1.02,1.03,1.01,1.02,76519200,219180000,1.02
Jul 01 2017,1.01,1.04,1.01,1.02,82133800,217215000,1.02
Jun 30 2017,1.02,1.02,0.997355,1.01,72550400,218616000,1.01
